,Unnamed: 0,latitude,longitude,Nom de l'etablissement,Note
0,0,5.3266644,-4.0230436,Hotel Ibis - Plateau,4.5
1,1,6.8227502,-5.2707787,Hotel Fanon,3.0
2,2,5.3261145,-4.0043371,Hotel Ivoire,4.5
3,3,5.3271311,-3.9594345,Hotel - La Maison Excellence,2.0
4,4,5.2183437,-3.7419942,N’Sa Hotel,2.0
5,5,5.3049959,-3.9689762,Hotel Canal,2.0
6,6,7.6854562,-5.0293077,RAN Hotel,2.0
7,7,5.3062394,-3.9892677,Hotel Hamanieh,2.0
8,9,5.404783,-6.552319,Hotel Kato,2.0
9,10,5.3533125,-4.0025425,Hotel Palm Club,4.5
10,11,6.385939,-5.4004446,Hotel Concorde,3.0
11,12,5.1960992,-3.7309237,Residence Akil Borro,2.0
12,13,5.358658,-3.9781762,Residence Ben,2.0
13,14,6.3745831,-5.4210395,Hotel KONA,3.0
14,15,6.3738921,-5.4220739,Hotel Residence Harmonie,3.0
15,16,6.38509,-5.4045207,Hotel des Arts,3.0
16,17,6.3792337,-5.422363,Hotel VTR,3.0
17,18,6.3773694,-5.4247711,Hotel La Source,3.0
18,19,6.3847063,-5.4150046,Hotel Soleil,3.0
19,20,5.3374156,-4.0945827,Hotel Belview,4.5
20,21,5.3369069,-4.0958681,Hotel Hudson,4.5
21,22,5.3397375,-4.0956946,Hotel Kimi,4.5
22,24,5.3375427,-4.1024998,Hotel Abidjan,4.5
23,25,5.3365879,-4.1013683,Complex Hotelier Mandoux,4.5
24,26,6.3847253,-5.4158152,Hotel Djetran,3.0
25,27,6.381105,-5.4261218,Hotel Beau-Sejour,3.0
26,28,6.3905211,-5.4095069,Hotel Etranou,3.0
27,29,5.3325433,-4.0973301,Hotel Ayomibile,4.5
28,30,5.3346907,-4.1019362,Espace Kignon Restaurant et Hotel,4.5
29,31,5.3328115,-4.0677131,Hotel Assanvon,4.5
30,33,5.2168176,-3.7424033,Maffouet Hotel,2.0
31,34,5.3289054,-3.9352561,Hotel M'Badon Village,2.0
32,36,5.3286799,-3.9382002,Residence Hotel Coquette,2.0
33,37,5.3607275,-3.9933495,Residence Bertille,2.0
34,38,5.3296106,-3.9720507,Heden Golf Hotel Abidjan,2.0
35,39,5.3869104,-3.9700817,Hotel Belle Cote,2.0
36,40,5.3804787,-4.0049391,Zoo d'Abidjan,4.5
37,41,5.2912168,-3.9736144,Hotel Ibis Abidjan Marcory,2.0
38,42,5.341941,-4.0590673,Detente Hotel 2*,4.5
39,43,6.8204386,-5.2795421,Hotel la Residence,3.0
40,44,5.7943758,-6.5940532,Hote Ivoire,2.0
41,45,7.7142938,-5.0441884,Hotel de l'Air,2.0
42,46,7.4538784,-4.3359799,Zenith Hotel,2.0
43,47,7.0580641,-3.9784607,Hotel La Paix de Daoukro,2.0
44,48,5.2589606,-3.936407,"Radisson Blu Hotel, Abidjan Airport",2.0
45,49,5.28625,-3.9737998,Hotel Didi,2.0
46,50,5.2795739,-3.9722117,Hotel Ken'Ti,2.0
47,51,5.3559886,-4.0019029,Fondation Donwahi pour l'Art Contemporain,4.5
48,52,5.3262201,-4.0199524,Hotel Tiama,4.5
49,54,7.3982466,-7.5490752,Hotel de l'Ouest,2.0
50,55,7.6696412,-5.0669471,Hotel Regina,2.0
51,56,5.326457,-4.0047983,Sofitel Abidjan Hotel Ivoire,4.5
52,57,5.2027457,-3.7365448,Afrikland Hotel,2.0
53,58,5.1959051,-3.7433249,Assoyam Beach,2.0
54,59,5.195136,-3.7382754,Hotel Koral Beach,2.0
55,60,5.1955259,-3.7407528,La Madrague,2.0
56,61,5.1966715,-3.738047,Hotel de France,2.0
57,62,5.1962845,-3.7379571,Koral Beach Annexes,2.0
58,63,5.1955695,-3.7411112,La Playa,2.0
59,64,5.1947846,-3.7377027,Etoile du Sud,2.0
60,65,5.1943403,-3.7327055,La Commanderie,2.0
61,66,5.1937746,-3.7326712,La Paillote,2.0
62,67,5.1945383,-3.7356128,Le Wharf,2.0
63,68,8.0414139,-2.7977032,Radio la voie du Zanzan,2.0
64,69,6.1525444,-5.9481155,Hotel du LAC,3.0
65,70,6.1467667,-5.9487909,Hotel Hiram,3.0
66,71,6.8027431,-5.2508016,Hotel President,3.0
67,73,6.9738965,-5.7253723,Hotel Nazie,3.0
68,74,5.1542057,-3.4082045,Coucoue Lodge,2.0
69,75,5.1545474,-3.4096514,Les Marines de Babihana,2.0
70,76,7.3893164,-7.5674726,Hotel Beau Sejour,2.0
71,77,5.322153,-4.0137818,Hotel Pullman Abidjan,4.5
72,82,7.6735975,-5.0276834,Hotel Jean Mermoz,2.0
73,83,7.6626343,-5.0217932,Residence Hotel Elephant,2.0
74,84,7.6462703,-5.0325296,Hotel Le Parc,2.0
75,85,7.6840247,-5.046812,Hotel du Stade de Bouake,2.0
76,86,6.1212748,-5.9409099,Complexe hotelier le nouveau montreuil,3.0
77,87,6.1215205,-5.9406768,Complexe hotelier le NOUVEAU MONTREUIL,3.0
78,88,5.1955975,-3.7399263,La Taverne Bassamoise,2.0
79,90,5.4376265,-3.9754192,Residence Inn,2.0
80,91,5.3573557,-3.9011415,Hotel VIP,2.0
81,92,6.8304795,-5.261692,Hotel Du Centre 47 58 57 76,3.0
82,93,5.394061,-3.2092873,Auberge Akwaba,2.0
83,94,5.3390541,-3.9773259,Capitol Hotel,2.0
84,95,5.3239177,-4.0183229,Mövenpick Hotel Abidjan,4.5
85,96,5.3192231,-4.0188771,Seen Hotel Abidjan Plateau,4.5
86,97,5.8728605,-7.4559793,Auberge Beau Sejour,2.0
